ID,Timestamp,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Φύλλο;,Ποιος είναι ο τρόπος εργασίας;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Έχεις άτομα υπό την επίβλεψη σου;,Ποιό είναι το επίπεδο σπουδών σου;,"Ποιος είναι ο τίτλος του πτυχίου σου; (Αν έχεις παραπάνω από ένα, συμπλήρωσε τα)",Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[Fixed] Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[GROUP] Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,"[GROUP] Σε ποια πόλη δουλεύεις, Greece ή Abroad","[GROUP] Σε ποια πόλη δουλεύεις, Αττική ή Υπόλοιπη Ελλάδα",[NORMALIZED] Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,[GROUP] Το πτυχίο σου είναι σχετικό με τον τομέα της πληροφορική;,[NORMALIZED] Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;
23,2/17/2024 0:26:51,Backend,"C++, Go",3,Ναι,Άντρας,Στον χώρο του εργοδότη,Dublin,,501+,Όχι,Bachelor's,Εφαρμογών πληροφορικής διοικησης και οικονομίας,67000,67000,3,Εξωτερικό,-,"C++, Go",Ναι,Backend
26,2/20/2024 20:50:07,"Backend, DevOps","Python, Go, Bash",1,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,201 - 500,Όχι,Bachelor's,Computer Science,28350,28350,1,Ελλάδα,Αττική,"Python, Go, Bash",Ναι,"Backend, SRE / DevOps"
50,2/28/2024 14:21:46,Backend,"JavaScript, PHP, Ruby, Go, Bash",9,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Μηχανικός Πληροφορικής ΤΕΙ Κρήτης,35631,35631,9,Ελλάδα,Αττική,"JavaScript, PHP, Ruby, Go, Bash",Ναι,Backend
109,2/29/2024 8:03:35,Backend,Go,16,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Μηχανικός Πληροφορικής ,43400,43400,10+,Ελλάδα,Αττική,Go,Ναι,Backend
148,3/1/2024 17:04:54,Backend,Go,7,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Πληροφορική,30000,30000,7,Ελλάδα,Αττική,Go,Ναι,Backend
154,3/2/2024 10:05:44,Embedded,"C, Go, Bash",2,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Master,"The Department of Information and Communication Systems Engineering, integrated master",25000,25000,2,Ελλάδα,Αττική,"C, Go, Bash",Ναι,FPGA / ASIC / Embedded
172,3/3/2024 13:28:48,Backend,Go,2,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Ηλεκτρολόγος Μηχανικός και Μηχανικός Υπολογιστών,19096,19096,2,Ελλάδα,Αττική,Go,Ναι,Backend
216,3/8/2024 18:07:45,"Embedded, go backend σε linux που ελέγχει fpga κά",Go,15,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,11 - 50,Όχι,Bachelor's,ΗΛΕΚΤΡΟΝΙΚΌΣ,32000,32000,10+,Ελλάδα,Αττική,Go,Ναι,FPGA / ASIC / Embedded
235,3/20/2024 12:25:48,"Backend, Frontend","JavaScript, PHP, Go",6,Ναι,Άντρας,Απομακρυσμένα,Καρπενήσι,Καρπενήσι,11 - 50,Όχι,Bachelor's,Μηχανικών Πληροφορικής και Υπολογιστών,25000,25000,6,Ελλάδα,Υπόλοιπη Ελλάδα,"JavaScript, PHP, Go",Ναι,"Backend, Frontend"
240,3/20/2024 13:14:01,Backend,"Python, PHP, Go",7,Ναι,Άντρας,Απομακρυσμένα,Berlin,Berlin,101 - 200,Ναι,Λύκειο,,49364,49364,7,Εξωτερικό,-,"Python, PHP, Go",,Backend
262,3/20/2024 17:21:40,DevOps,"Python, Go, Bash",6,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Master,Μηχανικός Η/Υ & Δικτύων,34000,34000,6,Ελλάδα,Αττική,"Python, Go, Bash",Ναι,SRE / DevOps
266,3/20/2024 17:54:40,Backend,Go,10,Όχι,Άντρας,Και τα δύο,Αθήνα,,501+,Ναι,Bachelor's,Μηχανικός Η/Υ/Σ,33640,33640,10+,Ελλάδα,Αττική,Go,Ναι,Backend
268,3/20/2024 18:12:13,Backend,Go,4,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Master,Electrical & Computer Engineer ,2100,29400,4,Ελλάδα,Αττική,Go,Ναι,Backend
278,3/20/2024 23:00:58,Backend,"Java, Go",4,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Master,Electrical and computer engineering,24611,24611,4,Ελλάδα,Αττική,"Java, Go",Ναι,Backend
301,3/24/2024 2:17:14,Backend,"PHP, Go",6,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,51 - 100,Όχι,Bachelor's,Πληροφορική και τηλεπικοινωνιες,34000,34000,6,Ελλάδα,Αττική,"PHP, Go",Ναι,Backend
314,3/27/2024 12:32:53,Backend,"Java, Python, Go, Bash",1,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Informatics,12000,12000,1,Ελλάδα,Αττική,"Java, Python, Go, Bash",Ναι,Backend
328,3/27/2024 21:36:28,DevOps,"Java, Python, Go",2,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Bachelor's,Bachelor of Science,18725,18725,2,Ελλάδα,Αττική,"Java, Python, Go",Ναι,SRE / DevOps
351,4/3/2024 14:09:26,Backend,"PHP, Go",8,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,101 - 200,Όχι,Master,HMMY,34000,34000,8,Ελλάδα,Αττική,"PHP, Go",Ναι,Backend
382,4/4/2024 23:25:22,Backend,"Python, Go",4,Όχι,Άντρας,Στον χώρο του εργοδότη,London,London,201 - 500,Όχι,Master,Δίπλωμα Ηλεκτρολόγου Μηχανικού και Μηχανικού Η/Υ,85144,85144,4,Εξωτερικό,-,"Python, Go",Ναι,Backend
407,4/10/2024 18:51:15,Backend,"PHP, Go, Bash",15,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Informatics and telecommunications ,34706,34706,10+,Ελλάδα,Αττική,"PHP, Go, Bash",Ναι,Backend
431,4/15/2024 14:02:57,"Backend, Frontend, DevOps","Java, JavaScript, Go",2,Όχι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,Θεσσαλονίκη,501+,Όχι,Λύκειο,,19600,19600,2,Ελλάδα,Υπόλοιπη Ελλάδα,"Java, JavaScript, Go",,"Backend, Frontend, SRE / DevOps"
466,4/17/2024 16:18:36,Backend,Go,5,Ναι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,Θεσσαλονίκη,201 - 500,Όχι,Master,Μηχανικός Η/Υ & Πληροφορικής,24700,24700,5,Ελλάδα,Υπόλοιπη Ελλάδα,Go,Ναι,Backend
478,4/17/2024 18:29:31,Backend,"Java, Go",8,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Ναι,Bachelor's,Τμήμα Πληροφορικής και Τηλεπικοινωνιών ΕΚΠΑ,28881,28881,8,Ελλάδα,Αττική,"Java, Go",Ναι,Backend
526,4/19/2024 11:17:27,Backend,"PHP, Go",5,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,51 - 100,Όχι,ΙΕΚ,Τεχνικός Λογισμικού Η/Υ,23380,23380,5,Ελλάδα,Αττική,"PHP, Go",Ναι,Backend
529,4/19/2024 13:14:29,Backend,Go,6,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Μηχανικός Πληροφορικής,25875,25875,6,Ελλάδα,Αττική,Go,Ναι,Backend
544,4/21/2024 14:05:38,DevOps,"Go, Bash",5,Όχι,Άντρας,Και τα δύο,Amsterdam,Amsterdam,501+,Όχι,Master,Ηλεκτρολόγος Μηχανικός και Μηχανικός Υπολογιστων,90000,90000,5,Εξωτερικό,-,"Go, Bash",Ναι,SRE / DevOps
556,4/24/2024 0:51:00,DevOps,Go,1,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,11 - 50,Όχι,Λύκειο,,19600,19600,1,Ελλάδα,Αττική,Go,,SRE / DevOps
558,4/24/2024 20:36:47,DevOps,"Ruby, Go, Bash",4,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Computer science,30592,30592,4,Ελλάδα,Αττική,"Ruby, Go, Bash",Ναι,SRE / DevOps
584,5/1/2024 13:36:54,Backend,Go,18,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,501+,Όχι,Master,Computer Science,50000,50000,10+,Ελλάδα,Αττική,Go,Ναι,Backend
604,5/11/2024 20:14:30,"Backend, Frontend, DevOps, Mobile apps, Cybersecurity","Java, C#, Python, JavaScript, Go, NodeJS",8,Ναι,Άντρας,Απομακρυσμένα,Tirana,Tirana,11 - 50,Ναι,Master,Applied Computer science,30000,30000,8,Εξωτερικό,-,"Java, C#, Python, JavaScript, Go",Ναι,"Backend, Frontend, SRE / DevOps, Mobile Apps, Cybersecurity"
650,5/29/2024 12:07:01,Cybersecurity,"Python, Go, Bash, Rust",20,Ναι,Άντρας,Απομακρυσμένα,Berlin,NYC,101 - 200,Όχι,Bachelor's,Computer Engineering,95000,95000,10+,Εξωτερικό,-,"Python, Go, Bash",Ναι,Cybersecurity
662,5/29/2024 13:49:04,Backend,Go,3,Όχι,Άντρας,Απομακρυσμένα,London,London,501+,Όχι,ΙΕΚ,Network Engineer,64000,64000,3,Εξωτερικό,-,Go,Ναι,Backend
669,5/29/2024 17:52:41,Backend,Go,10,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,London,101 - 200,Όχι,Bachelor's,Informatics and Telecommunications,78260,78260,10+,Εξωτερικό,-,Go,Ναι,Backend
708,5/31/2024 19:17:24,"Backend, Frontend","Python, JavaScript, Go",2,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Master,Ηλεκτρολόγος Μηχανικός και Μηχανικός Υπολογιστών ,19850,19850,2,Ελλάδα,Αττική,"Python, JavaScript, Go",Ναι,"Backend, Frontend"
776,7/17/2024 23:20:17,Backend,Go,6,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Πληροφορική ΟΠΑ,2330,32620,6,Ελλάδα,Αττική,Go,Ναι,Backend
903,10/23/2024 22:56:42,Backend,Go,5,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,computer science,28000,28000,5,Ελλάδα,Αττική,Go,Ναι,Backend
922,10/25/2024 15:31:29,DevOps,"Go, Bash",5,Όχι,Άντρας,Και τα δύο,Stuttgart,Stuttgart,501+,Όχι,Master,Integrated Master - Computer Engineer & Informatics,55000,55000,5,Εξωτερικό,-,"Go, Bash",Ναι,SRE / DevOps
934,10/27/2024 15:50:00,"Backend, Frontend","JavaScript, PHP, Go",6,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,ΜΗΧΑΝΙΚΟΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,27289,27289,6,Ελλάδα,Αττική,"JavaScript, PHP, Go",Ναι,"Backend, Frontend"
936,10/29/2024 12:49:40,Backend,"Python, JavaScript, Go",1,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Master,"Ηλεκτρολογος Μηχανικος και Μηχανικος Υπολογιστων, MEng",15000,15000,1,Ελλάδα,Αττική,"Python, JavaScript, Go",Ναι,Backend
